version,barinel-exam
7,0.08888888888888889
88,0.1111111111111111
1,0.11290322580645161
72,0.13333333333333333
47,0.13461538461538464
28,0.13636363636363635
16,0.14814814814814814
37,0.1527777777777778
75,0.15384615384615385
15,0.2
40,0.24242424242424243
48,0.25
9,0.2857142857142857
57,0.4
91,0.4
27,0.4
55,0.4
65,0.4782608695652174
68,0.5
2,0.6
31,0.6271186440677966
23,0.6363636363636364
79,0.6666666666666666
63,0.6666666666666666
103,0.6666666666666666
74,0.6862745098039216
17,0.7037037037037037
64,0.8260869565217391
87,1.0
66,1.0
86,1.0
67,1.0
85,1.0
84,1.0
83,1.0
8,1.0
71,1.0
82,1.0
81,1.0
80,1.0
76,1.0
77,1.0
78,1.0
69,1.0
62,1.0
54,1.0
6,1.0
100,1.0
101,1.0
102,1.0
11,1.0
13,1.0
14,1.0
21,1.0
22,1.0
24,1.0
26,1.0
29,1.0
3,1.0
30,1.0
32,1.0
33,1.0
36,1.0
38,1.0
41,1.0
42,1.0
43,1.0
44,1.0
46,1.0
52,1.0
95,1.0
56,1.0
58,1.0
59,1.0
61,1.0
98,1.0
