version,dstar-exam
46,0.023255813953488372
71,0.02727272727272727
22,0.046875
88,0.05555555555555555
72,0.06666666666666667
47,0.06730769230769232
75,0.07692307692307693
7,0.07777777777777778
28,0.09090909090909091
9,0.14285714285714285
15,0.16
1,0.1774193548387097
48,0.1875
55,0.2
57,0.2
91,0.2
27,0.2
16,0.2098765432098765
40,0.21212121212121213
37,0.2361111111111111
63,0.3333333333333333
66,0.36363636363636365
68,0.4
65,0.43478260869565216
2,0.5
79,0.5
103,0.5
31,0.5084745762711864
23,0.5909090909090909
74,0.6470588235294118
17,0.6666666666666666
64,0.7391304347826086
82,1.0
78,1.0
67,1.0
77,1.0
81,1.0
87,1.0
86,1.0
76,1.0
85,1.0
80,1.0
84,1.0
83,1.0
69,1.0
8,1.0
54,1.0
61,1.0
100,1.0
101,1.0
102,1.0
11,1.0
13,1.0
14,1.0
21,1.0
24,1.0
26,1.0
29,1.0
3,1.0
30,1.0
62,1.0
32,1.0
36,1.0
38,1.0
41,1.0
42,1.0
43,1.0
44,1.0
52,1.0
95,1.0
56,1.0
58,1.0
59,1.0
6,1.0
33,1.0
98,1.0
